id,status_id,status_nome,projeto_id,projeto_nome,tipo_id,tipo_nome,first_story_point,last_story_point,lead_time,cycle_time
NGBC-2763,10008,Done,NGBC,B2C,10200,Story,0,5,28,9
NGBC-2765,10008,Done,NGBC,B2C,10200,Story,2,2,12,0.83
NGBC-2766,10008,Done,NGBC,B2C,10200,Story,3,3,10,3
NGBC-2767,10008,Done,NGBC,B2C,10600,Technical Story,3,3,3,0.21
NGBC-2768,10008,Done,NGBC,B2C,10200,Story,2,2,12,1
NGBC-2770,10008,Done,NGBC,B2C,10600,Technical Story,2,2,2,0
NGBC-278,10008,Done,NGBC,B2C,10103,Task,2,2,0.13,0.13
NGBC-2782,10008,Done,NGBC,B2C,10600,Technical Story,3,3,7,7
NGBC-2790,10008,Done,NGBC,B2C,10201,Bug,3,3,26,12
NGBC-2791,10008,Done,NGBC,B2C,10200,Story,2,2,17,4
NGBC-2792,10008,Done,NGBC,B2C,10600,Technical Story,NULL,NULL,9,6
NGBC-2793,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,18,7
NGBC-2797,10008,Done,NGBC,B2C,10200,Story,3,1,26,1
NGBC-2798,10008,Done,NGBC,B2C,10600,Technical Story,1,1,12,0
NGBC-2803,10008,Done,NGBC,B2C,10103,Task,3,3,2,0.88
NGBC-2811,10008,Done,NGBC,B2C,10600,Technical Story,3,3,1,1
NGBC-282,10008,Done,NGBC,B2C,10200,Story,1,1,28,10
NGBC-2820,10008,Done,NGBC,B2C,10200,Story,2,2,18,0.17
NGBC-2824,10008,Done,NGBC,B2C,10600,Technical Story,5,5,6,1
NGBC-283,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,125,112
NGBC-2832,10008,Done,NGBC,B2C,10600,Technical Story,3,3,21,2
NGBC-2837,10008,Done,NGBC,B2C,10103,Task,2,2,0.71,0.71
NGBC-2840,10008,Done,NGBC,B2C,10201,Bug,2,2,5,4
NGBC-2851,10008,Done,NGBC,B2C,10200,Story,13,3,54,6
NGBC-2865,10008,Done,NGBC,B2C,10103,Task,2,2,3,2
NGBC-2866,10008,Done,NGBC,B2C,10200,Story,3,3,70,1
NGBC-2878,10008,Done,NGBC,B2C,10201,Bug,2,2,8,6
NGBC-288,10008,Done,NGBC,B2C,10201,Bug,5,5,26,0.83
NGBC-2881,10008,Done,NGBC,B2C,10600,Technical Story,5,5,9,7
NGBC-2882,10008,Done,NGBC,B2C,10200,Story,3,3,83,6
NGBC-2888,10008,Done,NGBC,B2C,10200,Story,3,3,28,1
NGBC-2889,10008,Done,NGBC,B2C,10200,Story,5,8,44,7
NGBC-2898,10008,Done,NGBC,B2C,10200,Story,3,3,8,3
NGBC-2901,10008,Done,NGBC,B2C,10200,Story,3,3,42,7
NGBC-2902,10008,Done,NGBC,B2C,10200,Story,8,1,59,5
NGBC-2903,10008,Done,NGBC,B2C,10200,Story,8,8,56,9
NGBC-2907,10008,Done,NGBC,B2C,10200,Story,8,8,13,9
NGBC-2908,10008,Done,NGBC,B2C,10200,Story,5,3,38,11
NGBC-2916,10008,Done,NGBC,B2C,10200,Story,5,5,14,4
NGBC-2923,10008,Done,NGBC,B2C,10200,Story,3,3,27,14
NGBC-2924,10008,Done,NGBC,B2C,10200,Story,3,3,20,3
NGBC-2925,10008,Done,NGBC,B2C,10600,Technical Story,5,3,33,8
NGBC-2926,10008,Done,NGBC,B2C,10600,Technical Story,5,3,13,6
NGBC-2944,10008,Done,NGBC,B2C,10200,Story,3,3,2,1
NGBC-2955,10008,Done,NGBC,B2C,10600,Technical Story,2,2,1,0.25
NGBC-2965,10008,Done,NGBC,B2C,10201,Bug,2,2,6,5
NGBC-2967,10008,Done,NGBC,B2C,10200,Story,2,2,14,13
NGBC-2968,10008,Done,NGBC,B2C,10200,Story,5,5,47,1
NGBC-2969,10008,Done,NGBC,B2C,10200,Story,5,5,60,7
NGBC-2970,10008,Done,NGBC,B2C,10200,Story,3,3,36,2
NGBC-2974,10008,Done,NGBC,B2C,10600,Technical Story,3,3,43,7
